,No.,Title,Author,Size,Year,Category,Description
267,214,Map of Chicago,Rand McNally and Co.,"Laminated. 22""x28""",1893,Chicago," Map of
  Chicago streets and rail lines, S to 43rd, W to Crawford, N to Belmont.  Ward boundaries in red.  Parks and boulevards in green Map on
  alphanumeric grid.   Comes
  with pocket guide listing landmarks, World's Fair information.  In manila file folder. Scale:
  1""=1/3 mile"
268,225,Map of the City of Chicago,A. Zeese & Co.,"7""x9.75""",1893,Chicago," Map of
  Chicago and surrounding areas, showing railroads, stations, rivers, parks,
  and major streets.  Also includes
  Norwood Park, Leyden, Proviso, Cicero, Lyons, Palos, Worth, and Calumet."
269,231,"Railway Map of Chicago Showing
  Electric Horse, Cable, & Elevated Lines","Blanchard, Rufus","23""x35.5""",1893,Chicago,
270,231,"Railway Map of Chicago Showing
  Electric Horse, Cable, & Elevated Lines","Blanchard, Rufus","In 4 pieces, each
  12.5""x18"".  Bound.",1893,Chicago,
271,232,Street Number Map of Chicago,"Blanchard, Rufus","In 4 pieces, each
  12.5""x18"".  Bound.",1893,Chicago," Map of
  streets, N to Diversey, W to Crawford, S to 71st.  Insert map in UR shows Diversey to
  Lawrence, W to Western.  Provides
  street names and numbs for blocks. 
  Notes in right explain numbering system for north, west, and south
  divisions. Bound
  with Maps #0231, 1038"
272,236,Chicago, ,"17""x25""",1893,Chicago," Some
  tears at center crease. Street
  and railway map of Chicago and surrounding area, including Worth, Calumet,
  Palos, Lyons, Cicero, Proviso, Riverside, Leyden, and Norwood Park.  Municipal borders in red.  Parks and boulevards in green.  Bodies of water in blue.  Also points of Columbian Exhibition site. Upper
  right: Insert map #0237 On
  backside: Map of New Haven, CT"
273,237,{Map of central business district}, ,"7.5""x4.75""",1893,Chicago," Street
  map of Loop area, noting streets, parks, railways depots, and important
  buildings. Insert
  on Map #0236"
274,244,Standard Map of Chicago,Rand McNally,"In 2 pieces, both
  double-sided.  Each piece
  23""x40""",1893,Chicago," Street
  map of Chicago.  Also shows railroads
  and streetcar lines.  Names
  subdivisions and neighborhoods.  Wards
  outlined in red.  Site of World's
  Columbian Exhibition outlined in red. 
  Parks and boulevards in green. 
  Gives radius in miles from State & Madison."
275,298,"New and Concise Map of Chicago showing The new
  city Limits and location of the World's Columbian Exhibition, streets, parks,
  boulevards, railroads, street car lines, etc. (2 copies)",Montgomery Ward & Co./Rand McNally and Co.,"In two pieces totaling
  20""x28""",1893,Chicago," Map of
  Chicago streets and railroads, S to 138th, W to Harlem, N to Church.  With ward numbers and neighborhood
  names.  City borders in red. Parks and
  boulevards in green.  Site of Columbian
  Exhibition in red. Map on
  alphanumeric grid. Right
  margin: list of railroads entering Chicago On
  backside: Index to streets, avenues, and parks. With handwritten notes. Comes
  with pocket street guide."
276,310,Map of Chicago,"Thos. Cook & Son, Tourist & Exchange
  Agents","8.25""x12.25""",1893,Chicago," Street
  map of Chicago S to 75th, W to Hamlin, N to Diversey.  Bodies of water in blue.  Red lines mark streetcar routes.  Red blocks mark hotels that accept Cook's
  Coupons. Map of
  New York, NY on backside. Attached
  to Map #0206"
277,329,Map of Chicago,Poole Bros.,"15.75""x22""",1893,Chicago," Street
  and railway map of Chicago S to 67th, W to Crawford, N to Diversey.  Radius from city center given in
  miles.  Parks and boulevards in green.  Index on right points out railroads,
  depots. Upper
  right: Advertisements for and drawing of Commercial Hotel, Lake and Dearborn
  Sts.  More advertisements on backside."
278,340,Chicago,"Wm. Wangershem & Co., Map Publishers, Chicago","Laminated. 16""x21.5""",1893,Chicago," Street
  and railway map of Chicago S to 68th, W to Crawford, N to Diversey.  Wards numbered.  Radius from city center given in
  miles.  Parks and boulevards in
  green.  Also points out major railroad
  depots and site of Columbian Exhibition. Upper
  right: Advertisements for and drawing of Commercial Hotel, Lake and Dearborn
  Sts.  "
279,417,World's Fair Map of Chicago,B.F. Jacobs & Co.,"Laminated. 23.75""x36""",1893,Chicago," Map of
  streets, railroads, neighborhoods, and land plots in Chicago area, including
  Thornton, Calumet, Worth, Palos, Lyons, Cicero, Proviso, Leyden, and Norwood
  Park.  Parks and boulevards in green.  Leading subdivisions and anchor tracts
  marked in red.  Notes site of Columbian
  Exposition. ICHi-31135 Map
  #0418 in upper corner."
280,418,"Map of the Grounds of the World's Columbian
  Exhibition at Jackson Park",B.F. Jacobs & Co.,"6.5""x10.5""",1893,Chicago," Map of
  World's Fair grounds in Jackson Park and Midway.  Notes locations of exhibition halls, state
  and national pavilion, etc. ICHi-31135 Insert
  map on #0417"
281,532,"Map of the Business and Central Portions of
  Chicago","Blanchard, Rufus","22""x35.25""",1893,Chicago," Map of
  streets, parks, rivers, railways and depots. S to 31st, W to Robey, N to
  Division. Gives block numbering. 
  Labels important buildings and landmarks in Loop. Notes
  on population growth, street numbering, distances, and railway terminal
  stations in right margin. Map on
  alphanumeric grid.  Street guide in top
  margin."
282,679,Map of the City of Chicago,J.H. Groene & Co.,"7.25""x10.5""",1893,Chicago," City
  map showing railways and major streets. 
  City borders in red.  Parks and
  boulevards in green.  Site of World's
  Fair in red. Scale:
  1""=3 miles Backside:
  Street and railway map of city center, N to Superior, W to Morgan, S to
  22nd.  Also shows landmarks, major
  buildings in Loop area."
283,1036,South Division Map and Chicago Question Answerer,Glossop,"In plastic sleeve.
  11.75""x12.25""",1893,Chicago," Map of
  central business area marking important buildings.  Labels streets and railway depots.  Rail lines marked in red. Advertisements
  on left margin and backside. ICHi-31133"
284,1038,Map of the Environs of Chicago.,"Blanchard, Rufus","13.5""x18""",1893,Chicago," Map of
  Chicago and surrounding area, NE to Waukegan, NW to McHenry, SW to Troy, SE
  to Indiana.  Chicago area shaded red
  light.  Other developed areas shaded
  deep red.  Shows rail lines and major
  stations in black.  Indiana border
  shaded light blue.  County borders
  shaded deep blue. Bound
  with Maps #0231, 0232"
285,286,Real Estate Map of Chicago,Rand McNally and Co.,"87.75""x69""",1894,Chicago," Laminated,
  frayed on edges. Map
  showing streets and addresses.  S to
  Egan, W to Crawford, N to Belmont. 
  Also included railway and street car lines.  Wards outlined in red.  Subdivisions and additions marked by
  color.  Parks and boulevards in green. Map on
  alphanumeric grid.  Right margin
  contains street guide, park listing, index of subdivisions. Scale:
  1""=500ft"
286,708,"Map of the City of Chicago accompanying the
  Surveyor's Fee Bill","Bremer, H.H.","Laminated. 12""x9.5""",1894,Chicago," Map of
  Chicago noting real estate prices. 
  Areas marked by color, with minimum price list on left side.  Note on exceptions to general price list on
  right side.  Map marks major streets,
  railways lines."
287,no number,Map of Chicago,R.F. Jacobs and Co.,"25""x37.5""",1895,Chicago," Some
  fraying at edges, tearing at creases. Map of
  Chicago and surrounding areas, showing streets, railways, and land
  plots.  S to Harvey, IL; W to La Grange
  and Grossdale, N to Calvary Cemetery. 
  Bodies of water in blue.  Parks
  and boulevards in green.  Red outline
  around Chicago borders.  Lots for sale
  highlighted red. Right
  side also contains list of railway terminals, information of population. Insert
  map of central Evanston at top right. Gift:
  Ruth Caffeen, 2/1974"
288,226,"Railway Map of Chicago showing Electric,
  Horse-Cable, and Elevated Lines","Blanchard, Rufus","In 2 pieces totaling
  24.75""x37""",1895,Chicago," Map of
  Chicago and surrounding areas showing major streets and electric, horse car,
  elevated, and steam lines.  S to
  Harvey, W to LaGrange and River Park, N to Cavalry Cemetery.  Bodies of water in blue.  Parks and boulevards in green.  City borders in red. Right
  margin contains information on population, railway terminals. Map
  #0227 on backside"
289,227,"Map of the Business and Central Portions of
  Chicago","Blanchard, Rufus","In 2 pieces totaling
  24.75""x37""",1895,Chicago," Map
  showing streets, address numbers, and rail lines S to 31st, W to Robey, N to
  Division.  Also notes rivers, parks,
  canals.  Labels important buildings in
  Loop. Upper
  right: Insert of Father Marquette map of area from 1673. Map on
  alphanumeric grid.  Street guide in
  upper margin. Map
  #0226 on backside"
290,228,Street Number Map of Chicago,"Blanchard, Rufus","Laminated. 24""x36""",1895,Chicago," Map of
  Chicago streets showing horse car, elevated, and cable lines marked by
  color.  S to 71st, W to Crawford, N to
  Diversey.  Insert map in upper right
  shows Diversey to Lawrence, W to Western. Information
  on street numbering in north, south, and west divisions on right margin. Map on
  alphanumeric grid."
291,245,"Map of Chicago with the New Street Names (copy
  1)","Blanchard, Rufus","In 2 pieces totaling
  24""x35.5""",1895,Chicago," Map
  yellowed.  In manila folder. Map of
  Chicago streets with rail lines and stations marked in red.  Parks and boulevards in green.  S to 71st, W to Crawford, N to
  Diversey.  Insert map in upper right
  shows Diversey to Lawrence, W to Western. Information
  on street numbering in north, south, and west divisions on right margin. Map
  indexed to show original name of street, changed, with its subject located. Map on
  alphanumeric grid.  Comes with street
  guide in blue booklet."
292,245,"Map of Chicago with the New Street Names (copy
  2)","Blanchard, Rufus","25""x36.5""  Tear in center crease.",1895,Chicago," Map of
  Chicago streets with rail lines and stations marked in red.  Parks and boulevards in green.  S to 71st, W to Crawford, N to
  Diversey.  Insert map in upper right
  shows Diversey to Lawrence, W to Western. Information
  on street numbering in north, south, and west divisions on right margin. Map
  indexed to show original name of street, changed, with its subject located. Map on
  alphanumeric grid."
293,246,Standard Map of Chicago,Rand McNally and Co.,"In six pieces,
  double-sides.  Pieces in folder.",1895,Chicago," 1 side
  of six pieces: 38.75""x45"" Map of
  Chicago streets S to 138th, W to Harlem, N to Church.  Also shows steam, electric, and horse car
  rail lines.  Parks and Boulevards in
  green.  Ward borders in red.  Radius from city center in miles. Map on
  alphanumeric grid. Upper
  right: Index to streets, avenues, and parks. Center
  right: Insert map of Rogers Park. 
  Index of railroads. Scale:
  1""=1/4 mile"
294,276,"New Map of Chicago showing Streetcar Lines in
  Colors, Street Numbers, and New Street Names","Blanchard, Rufus","In six pieces, folded and bound
  in hardcover.  Each piece
  23""x29""",1895,Chicago," Map of
  Chicago streets, railway, and streetcar lines S to 138th, W to Harlem, N to
  Cavalry Cemetery.  Wards outlined in
  red, marked by number and color.  Parks
  and boulevards in green.  Map on
  alphanumeric grid. Upper-right
  insert: Map of Lake Shore north of Chicago, from Rogers Park to Glencoe. Center-right
  insert: Map of East Chicago in area around state line, including Hammond and
  East Chicago Harbor area.  Also has
  notes on government section and Old Indian Boundary. Bottom-right
  insert: Map of Harvey and other Suburbs, showing streets, railways, and land
  plots in Harvey, Chicago Heights, Hammond, and surrounding areas."
295,281,Map of Chicago,Chicago Chart Co.,"In 4 pieces totaling
  46.75""x82.25""",1895,Chicago," Map
  showing city streets with old and new names. 
  Also includes railroads.  Parks
  and boulevards in green.  Ward
  boundaries in red. Upper
  right: Index of streets.  List of
  railroads. Lower
  left: Index of renamed streets with supplements. Center
  right: Additional supplement on renamed streets. Map on
  alphanumeric grid."
296,1039,Map of the Central Portion of Chicago. ,Rand McNally and Co.,"14""x11.5""",1895,Chicago," Map of
  Chicago streets and railways S to 22nd, W to Halsted, N to Chicago Ave. Shows
  major streets, railroads and depots, and important buildings. Map on
  alphanumeric grid.  Street index on
  margins.  Railroad depots listed on
  right. Scale:
  1""=1/4 mile Upper
  right: insert map showing whole of Chicago outline, with parks and boulevards
  in green and central portion in deep red. On
  backside: Map of Illinois showing counties by color, towns, railways lines."
297,280,"Map of the City of Chicago showing Boundaries,
  Sections, and Street Names","Wullweber, O.L.","29.5""x44.25""",1896,Chicago," Map of
  Chicago streets and railways.  Wards
  numbered and outlined in red.  Also
  names neighborhoods. Compass
  in upper right. Scale:
  1"" = 2/3mile"
298,288,Real Estate Map of Chicago and Suburbs (copy 1),"Mitchell, William J.","In 9 pieces, totaling
  101.5""x67""",1896,Chicago," Map
  showing streets, railroads, numbered land plots, names of subdivisions and
  additions.  S to 138th, N to Devon, W
  to Maywood/Riverside/River Grove.  City
  borders in green.  Northern railroad
  lines and depots shaded pink. Upper
  right: Insert map of Evanston and Rogers Park, S to Devon, W to McDaniel, N
  to Center. Map on
  alphanumeric grid.  Street index with
  old street names on right."
299,288,Real Estate Map of Chicago and Suburbs (copy 2),"Mitchell, William J.","102""x68""",1896,Chicago," Map
  yellowed, frayed on edges. Map
  showing streets, railroads, numbered land plots, names of subdivisions and
  additions.  Subdivisions and additions
  differentiated by color.  S to 138th, N
  to Devon, W to Maywood/Riverside/River Grove. 
  City, ward borders in red. 
  Parks and boulevards in green. Upper
  right: Insert map of Evanston and Rogers Park, S to Devon, W to McDaniel, N
  to Center. Map on
  alphanumeric grid.  Street index with
  old street names on right."
300,233,"New Map of Chicago showing Location of Schools,
  Street Car Lines in Color, and Street Numbers in even Hundreds","Blanchard, Rufus","In six pieces, totaling
  45.25""x81.5""",1897,Chicago," Map of
  Chicago streets, railway, and streetcar lines S to 138th, W to Harlem, N to
  Cavalry Cemetery.  Wards outlined in
  red, marked by number and color.  Parks
  and boulevards in green.  Map on
  alphanumeric grid.  Elevated, electric,
  and cable lines in red.  Schools and
  school properties in red. Bottom
  left: Names of public schools and school properties. Upper-right
  insert: Map #0234 Center-right
  insert: Map of East Chicago in area around state line, including Hammond and
  East Chicago Harbor area.  Also has
  notes on government section and Old Indian Boundary."
301,234,Map of the Lake Shores North of Chicago,"Blanchard, Rufus","15""x18""",1897,Chicago," Map of
  Lake Shore north of Chicago.  S to
  Rogers Park/Touhy Rd, N to Glencore, W to Moron Grove/North Branch Road.  Marks streets and railroads.  Names municipalities.  Numbers open land plots. Map on
  upper right of Map #0233"
302,247,"Street Number Guide Map of... the Principal Part
  of... Chicago",Rand McNally and Co.,"Laminated. 21""x27.75""",1897,Chicago," Map
  showing city streets, canals, and railroads. 
  Parks and boulevards in green. Map on
  alphanumeric grid.  Numbers city
  blocks.  S to 71st, W to 51st
  Ave/Jefferson, N to Irving Park From:
  Rand McNally & Co.'s Chicago City Railroad Directory, 1897"
303,248,Map of Central Business Portion of Chicago,Rand McNally and Co.,"8.5""x8""",1897,Chicago," Shows
  streets, railroad lines and depots, landmarks, and major buildings S to 16th,
  W to Des Plaines, N to Kinzie. Part of
  Map #0250 Gift of
  E.K. Koschinch, 2/1964"
304,250,General Map of Chicago,Rand McNally and Co.,"41.75""x65""",1897,Chicago," Map
  including railways lines and depots and streets with address numbering.  S to 155th, N to Oakton, W to Orland
  Park/La Grange/Franklin Park.  Parks
  and boulevards in green.  Wards
  outlined in red.  Newly-annexed areas
  named.  Thick red outline around
  Chicago city border. Map on
  alphanumeric grid. Center--right:
  Insert Map # 0248 Gift of
  E.K. Koschinch, 2/1964"
305,1115,"Bird's Eye View of the Central Business District
  of Chicago",Poole Bros.,"42""x60""",1898,Chicago," Map on
  alphanumeric grid.  Legend to public
  buildings and other landmarks along bottom margin. Colored
  bird-eye view from lakeshore west to Halsted, with detailed drawings of
  buildings, bridges, parks, In
  manila folder: Black and white facsimile in 6 pieces, roughly 2/3 scale."
306,253,"Map of Chicago with the New Street Names (3
  copies)","Blanchard, Rufus","24""x35.5""",1899,Chicago," Copy
  #1: Laminated Copy #2
  fraying on edges Copy #3
  in folder, very fragile Map of
  streets S to 71st, W to Crawford, N to Diversey, including address
  numbering.  Rail lines marked in red.
  Insert map in supper right, S to Diversey, W to Western, N to Lawrence.  Parks and boulevards in green.  Information on street numbering in right
  margin. On
  alphanumeric grid.  Comes with street
  guide in booklet"
307,270,"New General Map of Chicago showing all streets,
  parks, boulevards, railroads, elevated roads, street railways, sections, etc.",Rand McNally & Co.,"Map on 4 pieces, double-sided.",1899,Chicago," One
  side = 35""x43"" Map of
  city streets with addresses and railroads. 
  Parks and boulevards in green. 
  City limits in red.  N to
  Howard, W to La Grange/Orland Park/Franklin Park, S to 155th. Right
  side contains index to railroads. Scale:
  1"" = 2/5 mile Upper
  right contains inset map #0271"
308,271,Map of Evanston,Rand McNally & Co.,"14""x16""",1899,Chicago," Map of
  streets and railroads S to Howard, W to McDaniel, N to Central. Scale:
  5"" = 1 mile Insert
  map on #0270"
309,272,"Street Number Guide Map of... the Principal Part
  of... Chicago",Rand McNally & Co.,"Laminated. 21""x28""",1899,Chicago," Map
  showing city streets, canals, and railroads. 
  Parks and boulevards in green. Map on
  alphanumeric grid.  Numbers city
  blocks.  S to 71st, W to 51st
  Ave/Jefferson, N to Irving Park On other
  side: Maps #0273, 0274"
310,273,Map of the Business part of Chicago,Rand McNally & Co.,"Sheet: 21""x28""",1899,Chicago," Map:
  8.5""x7.5"" Shows
  streets, railroad lines and depots, landmarks, and major buildings S to 16th,
  W to Des Plaines, N to Kinzie. Scale:
  1"" = 1/4 mile Insert
  on Map # 0274.  On other side:: Map
  #0272"
311,274,New Standard Map of Chicago,Rand McNally & Co.,"Sheet: 21""x28""",1899,Chicago," Map:
  12""x20.5"" Map of
  Chicago and surrounding areas divided into eight lettered sections.  Shows railway lines and stations SE to
  Calumet, SW to Orland Park, NW to Orchard Place, NE to Evanston.  Also shows major roads, rivers, parks. Scale:
  1""=4 miles Insert:
  Map # 0273.  On other side:: Map #0272"
312,289,New Real Estate Map of Chicago- Old Limits,"Mitchell, William J.","70""x88.5""",1899,Chicago," Map of
  streets with addresses, railroads, and properties. N to Belmont, W to
  Crawford, S to 39th.  Parks and
  boulevards in green.  Schools, depots,
  and landmarks in red.  Wards numbered
  with blue borders.  Additions and
  subdivisions named and marked by color. Radius
  given in 1/2 mile increments. Map on
  alphanumeric grid.  In right margin:
  Legends of streets, schools, and passenger depots."
313,881,Map of Chicago and Environs,"Blanchard, Rufus","22""x31.5""",1899,Chicago," Torn on
  several creases. Map of
  Cook, Lake, and DuPage counties, with parts of McHenry, Kane, Kendall, Will,
  and Lake (IN) counties.  Shows railways
  lines and stations.  Notes rivers,
  major roads, towns.  County and
  municipal borders in red.  Bodies of
  water in green. Radius
  from city center given in 3-mile increments. Right
  margin: Alphabetical list of places and their locations on map"
314,261,"Map of Chicago showing the main portion of the
  city", ,"14""x11.5""",1900,Chicago," Map of
  Chicago streets and railroads S to 78th, W to Crawford, N to Irving
  Park.  Legend in lower right lists
  major train depots. Insert
  map #0262 in upper right. On
  backside: Street map of St. Louis, MO"
315,262,"Sectional Map of Chicago showing city limits,
  section lines, railroads, parks, & cemeteries", ,"7.25""x4.5""",1900,Chicago," Map of
  Chicago marking parks and major streets. 
  S to 138th, W to Harlem, N to Howard. Part of
  map #0261"
316,678,Critical Map of the Business Portion of Chicago,"Blanchard, Rufus","24.5""36""",1900,Chicago," Map of
  Chicago streets, railroads, canals.  S
  to 31st, W to Robey, N to Division. 
  Also marks ward boundaries in blue. 
  Parks in yellow, boulevards in green. Upper
  left: Insert map of the world showing major commercial routes. Upper
  right: Insert map # 0679"
317,679,(Map of Chicago extensions),"Blanchard, Rufus","8.5""x5.5""",1900,Chicago," Map of
  Chicago borders showing areas, dates, and methods of city's extension. Part of
  map #0678"
318,2007,Chicago and Suburbs.,"Engelhardt, George W.  ","10""x14""",1900,Chicago," Map
  showing outline of Chicago city, marking locations of major suburbs SE
  including Hammond, Willow Springs, Melrose, Deerfield, and Waukegan.  Also shows rivers and drainage canal."
319,2010,Map of Chicago with the New Street Names.,"Blanchard, Rufus","Laminated. 23.5""x36""",1901,Chicago," Map of
  Chicago streets with address numbers, S to 71st, W to Crawford, N to
  Diversey.  Rail and horse car lines in
  red.  Parks and boulevards in green.  Information on  street numbering in right margin. Map on
  alphanumeric grid. Upper
  right: Insert map of streets and railroads S to Diversey, N to Lawrence, W to
  Western. From:
  Blanchard's Guide to Chicago, 1901"
320,2011,Map of Chicago Vicinity.,Roberts,"In plastic sleeve.
  10.5""x15""",1901,Chicago," Map
  showing Chicago and surrounding suburbs, including Thornton, Bremen, Orland,
  Worth, Palos, Lyons, Proviso, Cicero, Leyden, Norwood Park, Maine, Niles, and
  Evanston.  Shows city borders, major
  roads, parks and boulevards, and rail lines. 
  Also shows radius in miles from downtown Chicago courthouse. Chicago
  city data on right. ICHi-36851"
321,2012,"Chicago and Suburbs--Street Names and Street Car
  Names in Colors.","Blanchard, Rufus","41.5""x27""",1901,Chicago," Map of
  Chicago city streets.  Street names and
  street car lines in red.  Elevated
  lines in black.  Parks and boulevards
  in green.  Lakes and river in
  blue.  City limits in blue.  S to 138th, N to Park Ridge, W to
  Riverside/Melrose/Morton Grove. Lower
  left: Insert map of Harvey, Chicago Heights, and other suburbs showing
  streets, railway lines, and land plots. Right
  margin: Annexation map showing areas, dates, and methods of city's extension. Upper
  right: Insert map showing Lake shore north of Chicago, from Rogers Park to
  Kenilworth. ICHi-29529"
322,2013,"Chicago and Suburbs--Street Names and Street Car
  Names in Colors.","Blanchard, Rufus","41.5""x27""",1901,Chicago," Map of
  Chicago city streets.  Street names and
  street car lines in red.  Elevated
  lines in black.  Parks and boulevards
  in green.  Lakes and river in
  blue.  City limits in blue.  S to 138th, N to Park Ridge, W to
  Riverside/Melrose/Morton Grove. Lower
  left: Insert map of Harvey, Chicago Heights, and other suburbs showing
  streets, railway lines, and land plots. Right
  margin: Annexation map showing areas, dates, and methods of city's extension. Upper
  right: Insert map showing Lake shore north of Chicago, from Rogers Park to
  Kenilworth. Fragile;
  torn at creases."
323,2014,"Chicago and Suburbs--Street Names and Street Car
  Names Lines.","Blanchard, Rufus","24""x36""",1902,Chicago," Map
  showing Chicago streets and rail lines. 
  S to 138th, W to La Grange/Riverside/etc., N to Howard.  Rivers and lakes in blue.  Parks and boulevards in green. Lower
  left: Insert map of Cook, DuPage, and Will Counties; also parts of Kane
  County and Lake County (IN).  Notes
  major streets and railway lines. Upper
  right:  Insert map of Lake shore north
  of Chicago, showing streets and railways from Evanston to Kenilworth."
324,2015,"Street Number Guide Map of the Principal Part of
  Chicago (and on opposite side) Street Guide Map of Chicago and Suburbs
  Showing the City Limits.",Rand McNally and Co.,"Laminated. In 2 pieces totaling
  22""x34""",1902,Chicago," Map of
  Chicago showing streets and railroads. 
  Parks and boulevards in green. 
  S to 71st, W to Crawford, N to Irving Park.  Index to railroads at right.  Map on alphanumeric grid. On
  opposite side: Map of
  streets and railroads S to 138th, W to Riverside/River Forest/etc., N to
  Howard.  City borders in red."
325,2016,"Chicago and Suburbs--Street Names and Street Car
  Names Lines.","Blanchard, Rufus","24""x36""",1903,Chicago," Map
  showing Chicago streets and rail lines. 
  S to 138th, W to La Grange/Riverside/etc., N to Howard.  Rivers and lakes in blue.  Parks and boulevards in green.  Chicago is in yellow. Lower
  left: Insert map of Cook, DuPage, and Will Counties; also parts of Kane
  County and Lake County (IN).  Notes
  major streets and railway lines. Upper
  right:  Insert map of Lake shore north
  of Chicago, showing streets and railways from Evanston to Kenilworth."
326,2017,"Real Estate Map of Chicago and Suburbs. (9
  parts)","Mitchell, William J.","108""x67""",1903,Chicago," Map
  of Chicago, Norwood Park, Leyden, Cicero, Riverside, Lyons, Stickney,
  Proviso, Worth, and Calumet.  Shows
  streets and railroads.  City and ward
  borders in red.  Additions and
  subdivisions named and marked by color. 
  Names owners and acreage of suburban lots.  Gives radius from city center in miles. Map on
  alphanumeric grid.  Street index at
  right.  Also lists changes in street
  names. Scale:
  1""=1/4 miles"
327,2018,"Cabinet Map of the Business Portion of Chicago
  Showing Depots, Public Buildings, and Down Town Hotels.","Blanchard, Rufus","22.5""x27.5""",1904,Chicago," Map
  torn at some creases. Map of
  Chicago streets and railway lines S to 27th, W to W, N to Division.  Lake and rivers in blue.  Parks and boulevards in green. Rail
  stations in red.  Also marks important
  buildings in Loop area. Map on
  alphanumeric grid.  Street guide in
  separate booklet."
328,2020,General Map of Chicago,"American Society of Mechanical
  Engineers/Institution of Mechanical Engineers","Laminated. 13""x8.5""",1904,Chicago," Map
  shows park system in green, major roads in black, street car and rail lines
  in red.  Also noted landmarks and
  points of mechanical interest. S to
  69th, W to N. 40th Ave, N to Irving Park. Scale:
  1""=1 mile"
329,2021,New Standard Map of Chicago. (10 parts),Rand McNally and Co.,"In 10 pieces, 29""x40""
  each",1904,Chicago," Map of
  Chicago streets, railways lines.  Parks
  and boulevard in green.  NE to
  Evanston/Central, NW to Riverview/Park Ridge, SW to Orland Park, SE to 155th
  St.. Some
  lots have notes on owners and acreage penciled in. Scale:
  4"" = 1 mile"
330,2022,Map of Chicago with the New Street Names.,"Blanchard, Rufus","23.5""x37""",1905,Chicago," Map of
  Chicago streets with address numbers, S to 71st, W to Crawford, N to
  Diversey.  Rail and horse car lines in
  red.  Parks and boulevards in green.  Information on  street numbering in right margin. Map on
  alphanumeric grid. Upper
  right: Insert map of streets and railroads S to Diversey, N to Lawrence, W to
  Western. From:
  Blanchard's Guide to Chicago...1905"
331,2316,Map of the Business Center of Chicago in 1905,The Chicago Directory Co.,"Laminated.
  26.75""x28.5""",1905,Chicago," Map of
  Chicago S to 12th, W to Halsted, N to Chicago.  Shows streets, rivers.  Marks and names railways.  Names major buildings in Loop area and
  beyond.  Notes starting location of
  Chicago Fire. Scale:
  13"" = 1 mile"
332,2023,Map of Chicago with the New Street Names.,"Blanchard, Rufus","24""x36.5""",1906,Chicago," Map of
  Chicago streets with address numbers, S to 71st, W to Crawford, N to
  Diversey.  Rail and horse car lines in
  red.  Parks and boulevards in green.  Information on  street numbering in right margin. Map on
  alphanumeric grid. Upper
  right: Insert map of streets and railroads S to Diversey, N to Lawrence, W to
  Western."
333,2024,Real Estate Map Old Limits of Chicago.,Real Estate Map Publishing Co.,"88.25""x69.5""",1907,Chicago," Real
  estate map of Chicago showing streets with address numbers, railways, parks,
  land plots.  S to 39th, W to Crawford,
  N to Belmont.  Wards numbered.  Additions and subdivisions named, marked by
  color.  Gives radius from city center
  in miles. Map on
  alphanumeric grid. On
  right: Indices of streets, public and high schools, parks, passenger railway
  depots; information on Chicago-Joliet drainage canal. Scale:
  1"" = 500ft"
334,2025,"New Street Number Guide Map of
  Chicago.",Rand McNally and Co.,"In 4 pieces, double-sided,
  laminated.",1908,Chicago,
335,2026,New Street Number Guide Map of Chicago (copy 2),Rand McNally and Co.,"Double-sided.  One side: 31""x36""",1908,Chicago," Map of
  Chicago showing streets and rail lines. Parks and boulevards in green.  N to Howard, W to Lathrop, S to 138th. Map on
  alphanumeric grid. Top
  right margin: Index to railroad depots. Bottom
  right margin: Explanation of street numbering. Scale:
  2.5""=1 mile"
336,2027,Real Estate Advertising Map., ,"53.25""x70.5""",1908,Chicago," Real
  estate map of north side showing streets with addresses, streetcar and
  elevated lines, parks and boulevards. Additions and subdivisions named and
  marked by color. Gives acreage for land plots.  S to Fullerton, W to Kimball, N to Howard. Advertisements
  around border, right margin."
337,4053,Map of Chicago with the New Street Names,"Blanchard, Rufus","25""x36""",1908,Chicago," Map of
  Chicago streets with address numbers, S to 71st, W to Crawford, N to
  Diversey.  Rail and horse car lines in
  red.  Parks and boulevards in green.  Information on  street numbering in right margin. Map on
  alphanumeric grid Backside:
  Index of streets, including list of changed street names. Upper
  right: Insert map of streets and railroads S to Diversey, N to Lawrence, W to
  Western. Attached
  to red booklet cover."
338,3252,New Indexed Map of the Vicinity of Chicago,Rand McNally and Co.,"27""x40.25""",1908,Chicago," Map
  of Chicago and northeast Illinois, plus parts of Illinois and Wisconsin.  Shows rail lines, towns, and cities.  Also notes some landmarks in Chicago area.  Counties named and marked by color.  E to Michigan City, N to Milwaukee, SW to
  LaSalle Co. IL, NW to Jefferson and Rock Co, WI.  City of Chicago outlined in red. Border
  contains index to cities and towns in Illinois, Indiana, and Wisconsin."
